latitude,longitude,name
50.792505,43.59958,DEWANSIJN
50.863999,43.66694,LIEDTS
50.842013,44.28398,MELARD
50.886729,43.11452,UZBRUSSEL
50.805949,43.40894,ST-PIETERSCOLLEGE
50.840994,44.34956,VOOT
50.81033,44.35664,HEILIGHART
50.803597,43.42061,HELDEN
50.84347,43.83977,SCHUMAN
50.811842,44.32488,SCHOONEJANS
50.850306,44.83009,RING0
50.859349,43.44522,SAINCTELETTE
50.823982,44.00869,KRIJGSKUNDE
50.828587,43.15907,HERMES
50.860517,43.40558,RIBAUCOURT
50.833029,43.86241,FETIS
50.863052,43.47176,SUZANDANIEL
50.8589,43.44835,SAINCTELETTE
50.872802,43.28702,LEOPOLDI
50.848307,44.66589,KONINGINASTRID
50.84149,44.32103,SLEGERS
50.845003,43.51728,GROTEMARKT
50.873581,43.22738,BRUSSELAARS
50.844094,44.21202,MONTALD
50.858268,43.36469,MERCHTEM
50.875999,43.18701,EEUWFEESTSQUARE
50.845826,44.04548,VERGOTE
50.857124,43.3165,ZWARTEVIJVERS
50.876295,43.18299,EEUWFEESTSQUARE
50.818644,42.98266,DUIVENMELKERS
50.838755,43.85732,NERVIERS
50.880061,43.15951,TENTOONSTELLING
50.835718,42.75337,GOEDELUCHT
50.831031,43.90627,DEJACHT
50.885354,43.16858,OUDEAFSPANNING
50.828854,42.93893,VANBEETHOVEN
50.832776,43.95098,ELFNOVEMBER
50.886652,43.11336,UZBRUSSEL
50.823022,42.97351,WAXWEILER
50.831532,44.04636,BOILEAU
50.892997,43.15058,DIKKEBEUK
50.820497,42.99327,ACHTUREN
50.827185,44.18216,VOGELZANG
50.893478,43.19755,DEHEYN
50.832932,44.32063,TRAMMUSEUM
50.834526,44.27011,GROENEHOND
50.893998,43.25572,PALFIJN
50.849131,43.69931,MADOU
50.850478,43.513,DEBROUCKERE
50.89384,43.31185,STADION
50.85162,43.84813,VINCOTTE
50.831355,44.52487,BOSSTRAAT
50.894154,43.31475,STADION
50.852949,43.91801,RADIUM
50.832614,44.63859,PADDOCK
50.859872,43.75848,WIJNHEUVELEN
50.847919,44.07745,LEVIE
50.841533,44.49168,DONBOSCO
50.841731,43.53972,GROTEZAVEL
50.848322,44.13496,MEI
50.841321,44.43688,FALLONSTADION
50.826393,43.96727,ARSENAAL
50.848617,44.17628,HEYDENBERG
50.832914,44.46811,MAREYDE
50.824135,44.00458,KRIJGSKUNDE
50.855618,44.38981,MARCELTHIRY
50.908554,43.9545,MERCATOR
50.820617,44.09552,SINT-JULIAANSKERK
50.855498,44.28174,GULLEDELLE
50.828542,44.62659,SINT-ALEIDIS
50.819105,44.14816,VANDROMME
50.836069,44.12945,LEOPOLDII
50.830997,44.18305,ATLANT.OCEAAN
50.811714,44.32757,SCHOONEJANS
50.841983,43.83759,SCHUMAN
50.832883,43.98917,KON.OVERWINNAAR
50.835924,43.56089,LOUIZA
50.851026,44.34771,HAAGBEUKEN
50.839106,43.85817,NERVIERS
50.885945,43.08625,UZ-VUB
50.848725,44.16464,HEYDENBERG
50.834996,44.20567,JULIUSCAESAR
50.839842,43.69371,WETENSCHAP
50.848054,44.08895,LEVIE
50.836284,44.15514,LEOPOLDII
50.79192,43.51576,DROSSAARD
50.852877,43.91929,RADIUM
50.834405,43.7815,VARIA
50.884648,43.22212,BONAVENTURE
50.852527,43.88052,DAILLY
50.85421,43.6151,SAINT-LOUIS
50.875668,43.18538,EEUWFEESTSQUARE
50.849697,43.69619,MADOU
50.855575,43.58297,ROGIER
50.875097,43.13015,OCMWGANSHOREN
50.846716,44.42702,KLAKKEDELLE
50.830855,43.73536,MALIBRAN
50.812483,44.28388,HERRMANN-DEBROUX
50.847414,44.47702,VANDERVELDE
50.812034,43.67336,LONGCHAMP
50.885043,43.21743,BONAVENTURE
50.84839,44.59234,KRAAINEM
50.809738,43.65162,MONTJOIE
50.871086,43.30171,FIRMINLECHARLIER
50.814561,42.81457,BEGR.ANDERLECHT
50.803796,43.61786,FLORIDA
50.884943,43.22728,BONAVENTURE
50.852141,44.81977,GEBUREN
50.784248,43.32705,VLEESKERSEN
50.839925,43.69258,WETENSCHAP
50.839166,43.96742,MERODE
50.803921,43.49047,BEELDHOUWERS
50.825898,43.97734,ARSENAAL
50.839821,44.94327,STIJNSTREUVELS
50.789013,43.34445,ENGELAND
50.870978,43.30174,FIRMINLECHARLIER
50.853687,44.82052,KERKWEZEMBEEK
50.773632,43.35874,DAPPEREN
50.800255,43.18326,NEERSTALLE
50.847003,44.43725,KLAKKEDELLE
50.78091,43.32439,NOORDKRIEKEN
50.800219,43.1829,NEERSTALLE
50.814015,43.3906,COGHEN
50.776441,43.34839,OUDEWEG
50.833143,43.42664,HALLEPOORT
50.809923,43.39828,PEYO
50.797648,43.36207,RITTWEGER
50.837065,43.8664,LEMAN
50.793728,43.63929,SINT-JOBPLEIN
50.810053,43.64538,MONTJOIE
50.83435,43.88044,LOUISHAP
50.793908,43.64326,SINT-JOBPLEIN
50.830576,43.73493,MALIBRAN
50.832262,43.98902,KON.OVERWINNAAR
50.839217,43.63777,NAAMSEPOORT
50.836428,43.70853,IDALIE
50.828736,44.07927,BARONDECASTRO
50.850932,44.86461,GERGEL
50.80056,43.373,GLOBE
50.826613,44.11843,NIJVELSEDREEF
50.838508,43.36507,ZUIDSTATION
50.895751,43.88617,PETERBENOIT
50.830501,44.18486,ATLANT.OCEAAN
50.828595,43.16431,HERMES
50.793512,43.66737,SINT-JOBPLEIN
50.833278,44.23319,MOSTINCK
50.847042,44.83455,LOUISMARCELIS
50.803864,43.99607,DRIES
50.831355,44.38022,KELLE
50.86303,43.47661,SUZANDANIEL
50.804852,44.26364,TENREUKEN
50.908377,43.95668,MERCATOR
50.879669,43.15958,TENTOONSTELLING
50.851204,44.51656,CLINIQUES-UCL
50.842247,44.56538,HERENDAL
50.88634,43.11669,UZBRUSSEL
50.850255,44.58513,MOUNIER
50.842081,44.50887,KONKEL
50.890081,43.09188,UZ-PEDIATRIE
50.812231,44.29126,HERRMANN-DEBROUX
50.841399,44.48927,DONBOSCO
50.89631,43.29465,KONINGBOUDEWIJN
50.846111,43.83756,AMBIORIX
50.836926,44.67474,BERKEN
50.84775,43.45878,SINT-GORIK
50.853196,43.53646,DEBROUCKERE
50.83698,44.67233,BERKEN
50.875035,43.13561,OCMWGANSHOREN
50.858405,43.18501,KARREVELD
50.841905,44.56992,HERENDAL
50.885563,43.22378,BONAVENTURE
50.856927,43.25319,OSSEGEM
50.841094,44.59887,GERSIS
50.828191,43.93776,BUEDTS
50.843679,43.83925,SCHUMAN
50.825841,44.56976,VANDERMEERSCHEN
50.88989,43.09199,UZ-PEDIATRIE
50.80913,44.27589,SENY-PARK
50.829285,44.55393,MANOIRD'ANJOU
50.886396,43.11083,UZBRUSSEL
50.866227,43.58283,DESTOUVELLES
50.831085,44.52259,BOSSTRAAT
50.809898,44.36174,HEILIGHART
50.894753,43.91357,OORLOGSKRUISEN
50.834884,44.29254,GROENEHOND
50.835745,43.7717,MUSEUM
50.891237,43.838,BOOMGAARD
50.833549,44.20338,JULIUSCAESAR
50.79192,43.51675,DROSSAARD
50.867252,43.72886,COLIGNON
50.827977,44.18103,VOGELZANG
50.889696,43.09404,UZ-PEDIATRIE
50.855967,43.83582,BREMER
50.82502,44.1529,MEEUWEN
50.816872,44.24406,OUDERGEM-SHOP.
50.795803,43.72407,DIESDELLE
50.826037,44.12736,NIJVELSEDREEF
50.817791,44.1971,HERTOGENDAL
50.780305,43.49198,PASTEUR
50.82878,44.08268,BARONDECASTRO
50.819006,44.15298,VANDROMME
50.811716,43.57429,CAVELL
50.833027,43.75441,BLYCKAERTS
50.821065,44.08234,SINT-JULIAANSKERK
50.831242,43.09655,DEMOCRATIE
50.877616,44.09348,BORDETSTATION
50.828506,43.9335,BUEDTS
50.806358,43.57586,LANGEVELD
50.863234,43.56932,GLIBERT
50.835839,43.74913,MUSEUM
50.792451,43.74226,RACING
50.86008,43.60273,NOORDSTATION
50.873068,43.28469,LEOPOLDI
50.789637,43.74878,FORT-JACO
50.83294,43.74842,BLYCKAERTS
50.835844,43.79697,VIJVERS
50.786822,43.76323,BRAAMSTRUIKEN
50.823578,43.67622,VLEURGAT
50.841848,43.64842,TROON
50.784311,43.7835,VANBEVER
50.773299,43.35988,DAPPEREN
50.882396,43.35686,GUILL.DEGREEF
50.781196,43.80889,PRINSVANORANJE
50.774094,43.38942,STATIONLINKEBEEK
50.846406,43.57819,CENTRAALSTATION
50.779147,43.6532,HEILIGVERBOND
50.78698,43.30689,HORZEL
50.824949,44.14481,MEEUWEN
50.788971,43.73792,FORT-JACO
50.77961,43.38295,HOMBORCH
50.831505,44.43601,MERTENS
50.782373,43.5684,MARENTAK
50.776292,43.3478,OUDEWEG
50.828404,44.56072,MANOIRD'ANJOU
50.77804,43.54289,VERREWINKEL
50.776272,43.42435,GEITJES
50.825859,44.57146,VANDERMEERSCHEN
50.870326,43.05265,PAMPOEL
50.779087,43.32411,MOENSBERGSTATION
50.839664,43.64656,NAAMSEPOORT
50.872878,43.14714,NEREUS
50.78894,43.34006,ENGELAND
50.828371,44.63041,SINT-ALEIDIS
50.889412,43.22303,BOLLIEENBILLIE
50.791224,43.32898,UKKELKALEVOET
50.841346,44.59774,GERSIS
